    i                  Ax                  Ay                  Bx                  By                  Cx                  Cy
    25      1449.000000000       842.000000000        81.000000000      -526.000000000         0.059210526        -0.384502924
    26      1487.000000000       852.000000000       119.000000000      -516.000000000         0.086988304        -0.377192982
    27      1515.000000000       879.000000000       147.000000000      -489.000000000         0.107456140        -0.357456140
    28      1544.000000000       905.000000000       176.000000000      -463.000000000         0.128654971        -0.338450292
    29      1556.000000000       942.000000000       188.000000000      -426.000000000         0.137426901        -0.311403509
    30      1547.000000000       980.000000000       179.000000000      -388.000000000         0.130847953        -0.283625731
    31      1558.000000000      1018.000000000       190.000000000      -350.000000000         0.138888889        -0.255847953
    32      1596.000000000      1030.000000000       228.000000000      -338.000000000         0.166666667        -0.247076023
    33      1625.000000000      1057.000000000       257.000000000      -311.000000000         0.187865497        -0.227339181
    34      1658.000000000      1079.000000000       290.000000000      -289.000000000         0.211988304        -0.211257310
    35      1678.000000000      1113.000000000       310.000000000      -255.000000000         0.226608187        -0.186403509
    36      1701.000000000      1145.000000000       333.000000000      -223.000000000         0.243421053        -0.163011696
    37      1727.000000000      1175.000000000       359.000000000      -193.000000000         0.262426901        -0.141081871
    38      1758.000000000      1200.000000000       390.000000000      -168.000000000         0.285087719        -0.122807018
    39      1780.000000000      1232.000000000       412.000000000      -136.000000000         0.301169591        -0.099415205
    40      1775.000000000      1271.000000000       407.000000000       -97.000000000         0.297514620        -0.070906433
    41      1766.000000000      1309.000000000       398.000000000       -59.000000000         0.290935673        -0.043128655
    42      1759.000000000      1348.000000000       391.000000000       -20.000000000         0.285818713        -0.014619883
    43      1781.000000000      1381.000000000       413.000000000        13.000000000         0.301900585         0.009502924
    44      1776.000000000      1420.000000000       408.000000000        52.000000000         0.298245614         0.038011696
    45      1775.000000000      1459.000000000       407.000000000        91.000000000         0.297514620         0.066520468
    46      1797.000000000      1492.000000000       429.000000000       124.000000000         0.313596491         0.090643275
    47      1808.000000000      1530.000000000       440.000000000       162.000000000         0.321637427         0.118421053
    48      1794.000000000      1567.000000000       426.000000000       199.000000000         0.311403509         0.145467836
    49      1780.000000000      1604.000000000       412.000000000       236.000000000         0.301169591         0.172514620
    50      1754.000000000      1634.000000000       386.000000000       266.000000000         0.282163743         0.194444444
    51      1717.000000000      1649.000000000       349.000000000       281.000000000         0.255116959         0.205409357
    52      1678.000000000      1644.000000000       310.000000000       276.000000000         0.226608187         0.201754386
    53      1641.000000000      1659.000000000       273.000000000       291.000000000         0.199561404         0.212719298
    54      1614.000000000      1688.000000000       246.000000000       320.000000000         0.179824561         0.233918129
    55      1596.000000000      1723.000000000       228.000000000       355.000000000         0.166666667         0.259502924
    56      1560.000000000      1740.000000000       192.000000000       372.000000000         0.140350877         0.271929825
    57      1535.000000000      1771.000000000       167.000000000       403.000000000         0.122076023         0.294590643
    58      1506.000000000      1797.000000000       138.000000000       429.000000000         0.100877193         0.313596491
    59      1477.000000000      1824.000000000       109.000000000       456.000000000         0.079678363         0.333333333
    60      1437.000000000      1824.000000000        69.000000000       456.000000000         0.050438596         0.333333333
    61      1398.000000000      1830.000000000        30.000000000       462.000000000         0.021929825         0.337719298
    62      1358.000000000      1830.000000000       -10.000000000       462.000000000        -0.007309942         0.337719298
    63      1327.000000000      1806.000000000       -41.000000000       438.000000000        -0.029970760         0.320175439
    64      1295.000000000      1828.000000000       -73.000000000       460.000000000        -0.053362573         0.336257310
    65      1269.000000000      1858.000000000       -99.000000000       490.000000000        -0.072368421         0.358187135
    66      1230.000000000      1861.000000000      -138.000000000       493.000000000        -0.100877193         0.360380117
    67      1193.000000000      1848.000000000      -175.000000000       480.000000000        -0.127923977         0.350877193
    68      1172.000000000      1814.000000000      -196.000000000       446.000000000        -0.143274854         0.326023392
    69      1140.000000000      1792.000000000      -228.000000000       424.000000000        -0.166666667         0.309941520
    70      1137.000000000      1753.000000000      -231.000000000       385.000000000        -0.168859649         0.281432749
    71      1103.000000000      1732.000000000      -265.000000000       364.000000000        -0.193713450         0.266081871
    72      1064.000000000      1739.000000000      -304.000000000       371.000000000        -0.222222222         0.271198830
    73      1031.000000000      1717.000000000      -337.000000000       349.000000000        -0.246345029         0.255116959
    74      1008.000000000      1685.000000000      -360.000000000       317.000000000        -0.263157895         0.231725146
